conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
joe| Hi Hollie are you still planning to come over after class| [person:hollie f 1-1][person:hollie f 3-3]
hollie| Yes I am Do you need something| [person:hollie f 1-1][person:joe m 4-4]
joe| I need help baking a cake for my son Chase| [person:joe m 0-0][person:joe m 7-7][person:chase m 8-8][person:chase m 9-9]
hollie| Sure thing What is the cake for|
joe| It s for his birthday| [person:chase m 3-3]
hollie| Great Do you need me to pick anything up| [person:joe m 2-2][person:hollie f 4-4]
joe| Maybe Are you going to the store anyway| [person:hollie f 2-2]
hollie| Yes Susie called me earlier and said they are out of coffee so I need to get that| [person:susie f 1-1][person:hollie f 3-3][person:they g(susie) 7-7][person:hollie f 13-13]
joe| Oh great because I need some candles for the cake| [person:joe m 3-3]
hollie| Sure I ll get those and see you soon| [person:hollie f 1-1][person:joe m 7-7]
joe| Perfect thank you| [person:hollie f 2-2]
hollie| no problem|

conv:people_chats_0629_363:aug_0:chat_0:chataug_0| clifford hogarth| [person:clifford m 0-0][person:hogarth m 1-1]
hogarth| Hello how are you| [person:clifford m 3-3]
clifford| Iam good|
hogarth| Now that you are internet famous how has it been with you Clifford| [person:clifford m 2-2][person:clifford m 11-11][person:clifford m 12-12]
clifford| My idol status is very strange Hogarth Iam just a normal girl with a youtube not a month before| [person:clifford m 0-0][person:hogarth m 6-6]
hogarth| I hope strange doesn t necessarily mean bad| [person:hogarth m 0-0]
clifford| It doesn t for the most time but there is one this weird fan called Stan who post on every on my videos demanding that I show my feet| [person:stan m 15-15][person:clifford m 21-21][person:clifford m 25-25][person:clifford m 27-27]
hogarth| That doesn t sound awkward but what if you block the fan| [person:clifford m 8-8]
clifford| I haven t blocked the the fan yet but my manager Elvira warned me against blocking of fans in the early days of my career lest I give off a poor image| [person:clifford m 0-0][person:clifford m 9-9][person:elvira f 10-10][person:elvira f 11-11][person:clifford m 13-13][person:clifford m 23-23][person:clifford m 26-26]
hogarth| Iam not sure if I would trust your managers advice there but as long as you are happy I won t complain| [person:hogarth m 4-4][person:clifford m 7-7][person:clifford m 15-15][person:hogarth m 18-18]
clifford| Do you have any actual experience with social media| [person:hogarth m 1-1]
hogarth| Yes|
clifford| Or you are just putting in your two cents| [person:hogarth m 1-1][person:hogarth m 6-6]

conv:people_chats_0629_364:aug_0:chat_0:chataug_0| anna bob| [person:anna f 0-0][person:bob m 1-1]
bob| Hey Anna what s up Have you heard about Delilah| [person:anna f 1-1][person:anna f 6-6][person:delilah f 9-9]
bob| It s crazy|
anna| No I haven t is she ok What happened to her| [person:anna f 1-1][person:delilah f 5-5][person:delilah f 10-10]
bob| She held onto a firecracker too long and got injured| [person:delilah f 0-0]
anna| Oh myI m not sure I need to hear the details I m kind of squeamish Is she going to be ok| [person:anna f 5-5][person:anna f 11-11][person:delilah f 17-17]
bob| I think so Hey my cousin Fred and I long story short are putting together a get well soon card Do you want to contribute a signature or some art skills| [person:bob m 0-0][person:bob m 4-4][person:fred m 5-5][person:fred m 6-6][person:bob m 8-8][person:anna f 21-21]
bob| You have some artistic talent| [person:anna f 0-0]
anna| Why isn t Fred doing the artwork Doesn t he do artwork| [person:fred m 3-3][person:fred m 9-9]
bob| Yeah but he s a comic book artist and unless you think Delilah wants a superhero themed card it would be best if he didn t do the artwork on the card| [person:fred m 2-2][person:anna f 10-10][person:delilah f 12-12][person:fred m 23-23]
anna| Well I dunno Fred s got some pretty decent stuff and I m busy I think I could come over and spruce up the card sometime| [person:anna f 1-1][person:fred m 3-3][person:anna f 11-11][person:anna f 14-14][person:anna f 16-16]
anna| When can we meet up to spruce up the card I ve got some time this afternoon| [person:we g(bob:anna) 2-2][person:anna f 10-10]

conv:people_chats_0629_366:aug_0:chat_0:chataug_0| dillon kelsie| [person:dillon m 0-0][person:kelsie f 1-1]
