conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
douglas| Did you like The Avengers| [person:peter m 1-1]
peter| I did| [person:peter m 0-0]
peter| I believe Julie and Greg did too| [person:peter m 0-0][person:julie f 2-2][person:greg m 4-4]
douglas| What kind of restaurant do you think we should go to when we get together| [location:restaurant s 3-3][person:peter m 5-5][person:we g(douglas:peter:julie:greg) 7-7][person:we g(douglas:peter:julie:greg) 12-12]
peter| Mexican|
peter| Julie likes tacos| [person:julie f 0-0]
douglas| Sounds good Should we also see a movie| [person:we g(douglas:peter:julie:greg) 3-3]
peter| Yes Endgame comes out Friday|
douglas| Cool how about we see that then| [person:we g(douglas:peter:julie:greg) 3-3]
peter| How does next thursday sound say 6pm dinner|
peter| movie right after|

conv:people_2019080802_62:aug_0:chat_0:chataug_0| hannah ralph| [person:hannah f 0-0][person:ralph m 1-1]
hannah| hello|
ralph| hello|
hannah| what should we buy for jackie and albert| [person:we g(hannah:ralph) 2-2][person:jackie f 5-5][person:albert m 7-7]
ralph| hmm how about new beach towels| [location:beach s 4-4]
hannah| that sounds like a good idea where should we buy them| [person:we g(hannah:ralph) 8-8]
ralph| What about Walmart They both love sports Maybe Walmart might have some sport beach towels| [location:walmart s 2-2][person:they g(jackie:albert) 3-3][location:beach s 13-13]
hannah| that sounds good i will buy the towels and we can split the cost| [person:hannah f 3-3][person:we g(hannah:ralph) 9-9]
ralph| That sounds great to me| [person:ralph m 4-4]

conv:people_2019080802_63:aug_0:chat_0:chataug_0| elizabeth stephanie| [person:elizabeth f 0-0][person:stephanie f 1-1]
elizabeth| Hello|
stephanie| Oh hey Elizabeth| [person:elizabeth f 2-2]
elizabeth| What s up Steph| [person:stephanie f 3-3]
stephanie| My sister Kim is in town this week and we were wondering if you knew any good places around| [person:stephanie f 0-0][person:sister f 1-1][person:kim f 2-2][location:town s 5-5][person:we g(stephanie:kim) 9-9][person:elizabeth f 13-13][location:places g() 17-17]
elizabeth| What restraunt you think Sarah will want She s vegan right| [location:restraunt s 1-1][person:stephanie f 2-2][person:sarah f 4-4][person:sarah f 7-7]
