conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
margaret| Hello Nicole what are you doing are you ready for Brenda s wedding| [person:nicole f 1-1][person:nicole f 4-4][person:nicole f 7-7][person:brenda f 10-10]
nicole| Hey Margaret yeah I m ready what about you| [person:margaret f 1-1][person:nicole f 3-3][person:margaret f 8-8]
margaret| I am even ready and Nicole shall we organize a bridal shower for Brenda| [person:margaret f 0-0][person:nicole f 5-5][person:we g(margaret:nicole) 7-7][person:brenda f 13-13]
nicole| Sure let s do it It adds beauty to the wedding and let s maintain a dress code in the bridal shower and I want it to be a white theme for the party| [location:it s 4-4][location:it s 5-5][person:nicole f 23-23][location:it s 25-25][location:party s 33-33]
margaret| The idea is good but I think the rose gold theme looks pretty| [person:margaret f 5-5][person:rose__color_ u 8-8]
nicole| I don t think so according to me white theme looks good| [person:nicole f 0-0][person:nicole f 7-7]
margaret| Okay let s take the suggestion from our friends John and Tim| [person:we g(margaret:nicole) 7-7][person:friends g() 8-8][person:john m 9-9][person:tim m 11-11]
nicole| I think that s not a good idea as it is Brenda s wedding we shall ask her about the dress code| [person:nicole f 0-0][person:brenda f 11-11][person:we g(margaret:nicole) 14-14][person:brenda f 17-17]
margaret| Okay let s ask her and do accordingly| [person:brenda f 4-4]
nicole| Cool let s meet in the wedding see you soon| [person:margaret f 8-8]

conv:task_oriented_1231_amt_23:aug_0:chat_0:chataug_0| bruce jamie| [person:bruce m 0-0][person:jamie m 1-1]
jamie| Hi Bruce why don t join my yoga class| [person:bruce m 1-1][person:jamie m 6-6]
bruce| Yes I ve become a bit weak these days Can I become fit by doing yoga| [person:bruce m 1-1][person:bruce m 10-10]
jamie| Yes of course my yoga teacher Brandon and Kim are very patient and teach a very relaxing class| [person:jamie m 3-3][person:brandon m 6-6][person:kim f 8-8]
bruce| I m a bit nervous because I ve never done yoga before| [person:bruce m 0-0][person:bruce m 6-6]
jamie| Don t be in my class all skill levels can succeed| [person:jamie m 4-4]
jamie| On my first day Kim helped me a lot Her full attention was on me| [person:jamie m 1-1][person:kim f 4-4][person:kim f 6-6][person:kim f 9-9][person:jamie m 14-14]
bruce| Alright I ll look into it when you re suggesting so much| [person:bruce m 1-1][person:jamie m 7-7]
bruce| It is the question of my health If I can do something to stay fit then I ll definitely do| [person:bruce m 5-5][person:bruce m 8-8][person:bruce m 16-16]
jamie| It will definitely even Brandon is also a great teacher I think you should attend a few classes You will know it by your own| [person:brandon m 4-4][person:jamie m 10-10][person:bruce m 12-12][person:bruce m 18-18][person:your g() 23-23]
bruce| Okay I ll be joining from the next week Don t forget to inform me the timing and also share me the location| [person:bruce m 1-1][person:bruce m 14-14][person:bruce m 20-20]

conv:task_oriented_1231_amt_25:aug_0:chat_0:chataug_0| caleb king| [person:caleb m 0-0][person:king m 1-1]
caleb| Hey King It s been a long time since we played golf| [person:king m 1-1][person:we g(caleb:king) 9-9]
king| Yeah I know Caleb Let s plan for golf game next week| [person:king m 1-1][person:caleb m 3-3]
caleb| Sure I am free next week But where do we play| [person:caleb m 1-1][person:we g(caleb:king) 9-9]
king| There s a golf course in the neighbouring town we can go there and play| [person:we g(caleb:king) 9-9]
caleb| I don t want to go too far because me and my girlfriend Virginia have a date planned for that evening| [person:caleb m 0-0][person:caleb m 9-9][person:caleb m 11-11][person:virginia f 12-12][person:virginia f 13-13]
king| Oh okay If you don t mind can I ask you something| [person:caleb m 3-3][person:king m 8-8][person:caleb m 10-10]
caleb| Yeah sure What s the matter King| [person:king m 6-6]
king| Can I come along with you| [person:king m 1-1][person:caleb m 5-5]
caleb| Yeah no problem Virginia has a friend Ginger Even she will be joining us| [person:virginia f 3-3][person:ginger f 6-6][person:ginger f 7-7][person:ginger f 9-9][person:we g(caleb:king) 13-13]
king| That s great I ll also join you all after the game| [person:king m 3-3][person:caleb m 7-7]

