conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
bob| Hi My birthday is next week and I m inviting all my closest friends from school to the party You in| [person:bob m 1-1][person:bob m 7-7][person:bob m 11-11][person:friends g() 13-13][location:school s 15-15][person:dom m 19-19]
dom| Sounds great When is the party|
bob| Friday at 2pm You should invite some of your friends too| [person:dom m 3-3][person:dom m 8-8][person:friends g() 9-9]
dom| How about Rachel and Gloria| [person:rachel f 2-2][person:gloria f 4-4]
bob| I think I ve heard you talk about them Remind me| [person:bob m 0-0][person:bob m 2-2][person:dom m 5-5][person:them g(rachel:gloria) 8-8][person:bob m 10-10]
dom| They re great They re in class with us but I don t think you ve met them yet| [person:they g(rachel:gloria) 0-0][person:they g(rachel:gloria) 3-3][person:us g(bob:dom) 8-8][person:dom m 10-10][person:bob m 14-14][person:them g(rachel:gloria) 17-17]
bob| Are they the two really tall girls| [person:they g(rachel:gloria) 1-1][person:girls g(rachel:gloria) 6-6]
dom| That s them You ll get along great| [person:them g(rachel:gloria) 2-2][person:bob m 3-3]
bob| Sounds like fun See you next week| [person:dom m 4-4]
dom| See you then Happy birthday| [person:bob m 1-1]

conv:people_1011_1528_51:aug_0:chat_0:chataug_0| helen tyler| [person:helen f 0-0][person:tyler m 1-1]
helen| So Margaret and Matthew are remodeling their home| [person:margaret f 1-1][person:matthew m 3-3][person:their g(margaret:matthew) 6-6][location:home s 7-7]
tyler| I saw that I think they re going with a 1960s theme| [person:tyler m 0-0][person:tyler m 3-3][person:they g(margaret:matthew) 5-5]
helen| Yeah they love Mad Men and really got into that time period| [person:they g(margaret:matthew) 1-1]
tyler| I even saw a portrait of JFK being taken in| [person:tyler m 0-0]
helen| And I saw a green sofa and orange coffee table| [person:helen f 1-1]
tyler| I think it will look pretty cool Maybe we should do something with our place It s been a while| [person:tyler m 0-0][person:we g(helen:tyler) 8-8][person:our g(helen:tyler) 13-13][location:place s 14-14]
helen| I was thinking that too What would you want to do| [person:helen f 0-0][person:tyler m 7-7]
tyler| How about an eighties theme haha|
helen| Ooh I like it Seriously Can we get a painting of Duran Duran| [person:helen f 1-1][person:we g(helen:tyler) 6-6]
tyler| Sure And of course a bunch of Nagel paintings|
helen| Well that goes without saying|
tyler| Alright well I ll start pricing it all and we ll see what we can do Maybe we should get a waterbed| [person:tyler m 2-2][person:we g(helen:tyler) 9-9][person:we g(helen:tyler) 13-13][person:we g(helen:tyler) 17-17]
helen| I think that was more seventies than eighties| [person:helen f 0-0]
tyler| Oh then let s do the seventies|
helen| We ll discuss this tomorrow| [person:we g(helen:tyler) 0-0]

conv:people_1011_1528_52:aug_0:chat_0:chataug_0| jackie rebecca| [person:jackie f 0-0][person:rebecca f 1-1]
jackie| Hey you know that party I m having on the sailboat| [person:rebecca f 1-1][person:jackie f 5-5]
rebecca| Yeah the one you are inviting your best friends and your family too What about it| [person:jackie f 3-3][person:jackie f 6-6][person:friends g() 8-8][person:jackie f 10-10][person:family g() 11-11]
jackie| Well I m thinking that I will tell everyone how Gary and I are dating during the party| [person:jackie f 1-1][person:jackie f 5-5][person:everyone g() 8-8][person:gary m 10-10][person:jackie f 12-12]
rebecca| That s a bad idea You absolutely don t want to do that| [person:jackie f 5-5]
jackie| Why What s wrong with telling them| [person:everyone g() 6-6]
rebecca| Lots of reasons To start with you don t want to do that at a party It will put Gary on the spot| [person:jackie f 6-6][person:gary m 19-19]
jackie| I can see that I guess| [person:jackie f 0-0][person:jackie f 4-4]
rebecca| And you know Gary gets seasick He won t be at his best on the boat| [person:jackie f 1-1][person:gary m 3-3][person:gary m 6-6][person:gary m 11-11]
jackie| But it will be great to just have everyone around and be able to tell them all at once| [person:everyone g() 8-8][person:everyone g() 15-15]
rebecca| And what if your mother doesn t like Gary and you are all stuck on the boat together| [person:jackie f 3-3][person:gary m 8-8][person:jackie f 10-10]
jackie| Okay okay I get you I won t do it then You were smart to warn me| [person:jackie f 2-2][person:rebecca f 4-4][person:jackie f 5-5][person:rebecca f 11-11][person:jackie f 16-16]
rebecca| Thanks for saying that I can t wait for the party by the way| [person:rebecca f 4-4]

