conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
jerry| Hey Timothy I want you to come to my party Better yet what do you say about bringing Logan and Laura too| [person:timothy m 1-1][person:jerry m 2-2][person:timothy m 4-4][person:jerry m 8-8][person:timothy m 14-14][person:logan m 18-18][person:laura f 20-20]
timothy| Hey that sounds like a lot of fun I ve got to fit it in to my work schedule though I don t have any paid time off yet and I switched shifts| [person:timothy m 8-8][person:timothy m 16-16][person:timothy m 20-20][person:timothy m 30-30]
jerry| Okay no problem What days are you off normally| [person:timothy m 6-6]
timothy| I am off on Mondays and Tuesdays| [person:timothy m 0-0]
jerry| Okay great What do you think about asking Logan and Laura to go out on Monday| [person:timothy m 4-4][person:logan m 8-8][person:laura f 10-10]
timothy| I d bet that would work great for them They both work days so their evenings are free| [person:timothy m 0-0][person:them g(logan:laura) 8-8][person:them g(logan:laura) 9-9][person:them g(logan:laura) 14-14]
jerry| Oh good That sounds great I really wondered what time would be best for them| [person:jerry m 5-5][person:them g(logan:laura) 14-14]
timothy| Yeah I think 8 pm would work the best for them| [person:timothy m 1-1][person:them g(logan:laura) 10-10]
jerry| Okay great Will you ask them| [person:timothy m 3-3][person:them g(logan:laura) 5-5]
timothy| I ll do it tonight I ll text you and let you know| [person:timothy m 0-0][person:timothy m 5-5][person:jerry m 8-8][person:jerry m 11-11]
jerry| Okay thanks Timothy| [person:timothy m 2-2]

conv:people_2019081201_161:aug_0:chat_0:chataug_0| alexis laura| [person:alexis f 0-0][person:laura f 1-1]
alexis| Hey Laura Are you pumped for basketball this week| [person:laura f 1-1][person:laura f 3-3]
laura| You know it I just had lunch with Brenda and we were talking about class She mentioned that you wanted to get some extra practice in| [person:alexis f 0-0][person:laura f 3-3][person:brenda f 8-8][person:we g(laura:brenda) 10-10][person:brenda f 15-15][person:alexis f 18-18]
alexis| Yes I am feeling nervous for our next game so I wanted to get some extra time in| [person:alexis f 1-1][person:our g(alexis:laura) 6-6][person:alexis f 10-10]
laura| Totally agree Where do you want to play| [person:alexis f 4-4]
alexis| Let s try to do Fosgood Park Does that work for you| [location:park s 6-6][person:laura f 11-11]
laura| That s perfect It s about 15 minutes from my work so I could be there around 5PM tomorrow| [person:laura f 9-9][person:laura f 12-12]
alexis| That works Can you let Brenda know| [person:laura f 3-3][person:brenda f 5-5]
laura| Sure Should we see if Madison and Eve want to join as well| [person:our g(alexis:laura) 2-2][location:madison s 5-5]
alexis| Yes The more the merrier I ll give them both a call now See you tomorrow at 5PM| [person:alexis f 5-5][person:them g(madison) 8-8][person:laura f 14-14]
laura| Have a good night See you there| [person:alexis f 5-5]

conv:people_2019081201_163:aug_0:chat_0:chataug_0| douglas jeffrey| [person:douglas m 0-0][person:jeffrey m 1-1]
