conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
ronnie| Hey Evelyn let s plan a Thanksgiving dinner party at our house| [person:evelyn f 1-1][person:our g(ronnie:evelyn) 10-10]
evelyn| Yeah that s a good idea whom shall we invite for the party| [person:our g(ronnie:evelyn) 8-8]
ronnie| I was thinking to invite our inlaw s Jacoby and Cara to join the festivities| [person:ronnie m 0-0][person:our g(ronnie:evelyn) 5-5][person:jacoby m 8-8][person:cara f 10-10]
evelyn| It will be great if they join us in the thanksgiving party| [person:they g(jacoby:cara) 5-5][person:our g(ronnie:evelyn) 7-7]
ronnie| Yeah just try to call Cara and see if they are interested| [person:cara f 5-5][person:they g(jacoby:cara) 9-9]
evelyn| I am unable to reach Cara Can you once check with Jacoby| [person:evelyn f 0-0][person:cara f 5-5][person:ronnie m 7-7][person:jacoby m 11-11]
ronnie| Even I m unable to reach him over the phone| [person:ronnie m 1-1][person:jacoby m 6-6]
evelyn| I totally forgot that they are on vacation and I think that is the reason they are unable to answer the phone calls| [person:evelyn f 0-0][person:they g(jacoby:cara) 4-4][location:vacation s 7-7][person:evelyn f 9-9][person:they g(jacoby:cara) 15-15]
ronnie| Oh okay what shall we do about the Thanksgiving party then| [person:our g(ronnie:evelyn) 4-4]
evelyn| Let s postpone it to another date|

conv:people_chats_04182020_469:aug_0:chat_0:chataug_0| nathan stella| [person:nathan m 0-0][person:stella f 1-1]
stella| Nathan Have you ever thought about having a rose garden like Harold s| [person:nathan m 0-0][person:nathan m 2-2][person:not_a_person u 8-8][location:rose_garden s 8-9][person:harold m 11-11]
nathan| I would love to have But can t exactly figure out how he s maintaining that| [person:nathan m 0-0][person:harold m 12-12]
stella| Though he s good with roses he doesn t know to trim and clean his lawn| [person:harold m 1-1][person:harold m 6-6][person:harold m 14-14][location:lawn s 15-15]
nathan| Why don t we help him with that We can ask about the rose garden also| [person:we g(stella:nathan) 3-3][person:harold m 5-5][person:we g(stella:nathan) 8-8][person:not_a_person u 13-13][location:rose_garden s 13-14]
stella| I don t think that s a great idea He could think about us in a different manner| [person:stella f 0-0][person:harold m 9-9][person:we g(stella:nathan) 13-13]
nathan| Tell me whats wrong in that Knowledge is something which you should give and take| [person:nathan m 1-1][person:stella f 10-10]
stella| I am not sure about his thoughts in knowledge| [person:stella f 0-0][person:harold m 5-5]
nathan| I am going to meet him Would you like to join me| [person:nathan m 0-0][person:harold m 5-5][person:stella f 7-7][person:nathan m 11-11]
stella| Yes But please don t insist him if he s not interested| [person:harold m 6-6][person:harold m 8-8]
nathan| Don t worry I will tell in such a way that it would be formal yet in a friendly manner| [person:nathan m 3-3]

conv:people_chats_04182020_470:aug_0:chat_0:chataug_0| charles daniel| [person:charles m 0-0][person:daniel m 1-1]
daniel| Hey Charles Would you like to have pizza today| [person:charles m 1-1][person:charles m 3-3]
charles| I would love to But I am not sure about Phil and Sam| [person:charles m 0-0][person:charles m 5-5][person:phil m 10-10][person:sam m 12-12]
daniel| Great I am sure that they too love pizza but I am not sure about the toppings| [person:daniel m 1-1][person:they g(phil:sam) 5-5][person:daniel m 10-10]
charles| Better we will wait for Phil as he is very particular about Pizza toppings| [person:we g(daniel:charles) 1-1][person:phil m 5-5][person:phil m 7-7]
daniel| I know Phil very well and usually he will be arriving late every time and will have an argument about toppings| [person:daniel m 0-0][person:phil m 2-2][person:phil m 7-7]
charles| It will be very easy if we get the drinks by that time| [person:we g(daniel:charles) 6-6]
daniel| Sam is very picky about drinks and its better to wait for him to choose that| [person:sam m 0-0][person:sam m 12-12]
charles| Alright Then as like every other day we will wait for them to arrive and select their stuffs| [person:we g(daniel:charles) 7-7][person:they g(phil:sam) 11-11][person:they g(phil:sam) 16-16]
daniel| Its been 2 years since I met them From those days till now they are very regular in being irregular| [person:daniel m 5-5][person:they g(phil:sam) 7-7][person:they g(phil:sam) 13-13]
charles| Sounds funny We have a single option only to wait for them Lets see how long does they take| [person:we g(daniel:charles) 2-2][person:they g(phil:sam) 11-11][person:they g(phil:sam) 17-17]

conv:people_chats_04182020_471:aug_0:chat_0:chataug_0| macy philip| [person:macy f 0-0][person:philip m 1-1]
macy| Hey Phillip Where are you| [person:philip m 1-1][person:philip m 4-4]
philip| Hey Macy I am still in cab and I am concerned about my cab driver Claude| [person:macy f 1-1][person:philip m 2-2][person:philip m 8-8][person:philip m 12-12][person:claude m 15-15]
macy| Why What happened with him| [person:claude m 4-4]
philip| He is intoxicated and still driving I am not sure what to do| [person:claude m 0-0][person:philip m 6-6]
macy| Tell him to pull over under the premise or else he ll fall sick| [person:claude m 1-1][person:claude m 10-10]
philip| I am unsure If he has the acting skills to pull it off| [person:philip m 0-0][person:claude m 4-4]
philip| Can you please report the driver| [person:macy f 1-1]
